origin,sid,ads,idx,rank,E_MLIP,dE_from_global,site,site_combo,region,d_reactive,d_bin,priority,selection_reason,status,dir
v4-existing,S1,CO,64,0,-405.7190491925288,,atop_Pd,,,,,v4-baseline,top-5 MLIP E + xy dedup (v4 selector),DONE,calculations/T1_16_DFT_L2/S1/CO/00_CO_idx00064
v4-existing,S1,CO,3,1,-405.7177579793188,,br_PdPd,,,,,v4-baseline,top-5 MLIP E + xy dedup (v4 selector),DONE,calculations/T1_16_DFT_L2/S1/CO/01_CO_idx00003
v4-existing,S1,CO,8,2,-405.7147971253136,,br_PdPd,,,,,v4-baseline,top-5 MLIP E + xy dedup (v4 selector),DONE,calculations/T1_16_DFT_L2/S1/CO/02_CO_idx00008
v4-existing,S1,CO,28,3,-405.71289233710115,,br_PdPd,,,,,v4-baseline,top-5 MLIP E + xy dedup (v4 selector),DONE,calculations/T1_16_DFT_L2/S1/CO/03_CO_idx00028
v4-existing,S1,CO,30,4,-405.7124660696776,,br_PdPd,,,,,v4-baseline,top-5 MLIP E + xy dedup (v4 selector),DONE,calculations/T1_16_DFT_L2/S1/CO/04_CO_idx00030
v4-existing,S1,CH3O,48,0,-415.87339027332945,,br_PdPd,,,,,v4-baseline,top-5 MLIP E + xy dedup (v4 selector),PENDING,calculations/T1_16_DFT_L2/S1/CH3O/00_CH3O_idx00048
v4-existing,S1,CH3O,59,1,-415.87225263618353,,br_PdPd,,,,,v4-baseline,top-5 MLIP E + xy dedup (v4 selector),PENDING,calculations/T1_16_DFT_L2/S1/CH3O/01_CH3O_idx00059
v4-existing,S1,CH3O,138,2,-415.8718829277795,,br_PdPd,,,,,v4-baseline,top-5 MLIP E + xy dedup (v4 selector),PENDING,calculations/T1_16_DFT_L2/S1/CH3O/02_CH3O_idx00138
v4-existing,S1,CH3O,105,3,-415.8712321391327,,br_PdPd,,,,,v4-baseline,top-5 MLIP E + xy dedup (v4 selector),PENDING,calculations/T1_16_DFT_L2/S1/CH3O/03_CH3O_idx00105
v4-existing,S1,CH3O,37,4,-415.868882330609,,br_PdPd,,,,,v4-baseline,top-5 MLIP E + xy dedup (v4 selector),PENDING,calculations/T1_16_DFT_L2/S1/CH3O/04_CH3O_idx00037
